+----------+------------+--------------------+--------------------+--------------------+--------+
|    ID    |    name    |    sum_distance    |      maxspeed      |     meanspeed      | isloop |
+----------+------------+--------------------+--------------------+--------------------+--------+
| AL011851 |  UNNAMED   | 386.9414316855736  | 6.256165043048672  | 5.314656710428518  |   No   |
| AL021851 |  UNNAMED   |         0          |         /          |         /          |   No   |
| AL031851 |  UNNAMED   |         0          |         /          |         /          |   No   |
| AL041851 |  UNNAMED   | 4429.705144612795  | 30.07517100550945  | 15.672644180149346 |   No   |
| AL051851 |  UNNAMED   |        0.0         |        0.0         |        0.0         |   No   |
| AL061851 |  UNNAMED   | 880.2674687345906  | 18.05357498995019  | 10.297767467066476 |   No   |
| AL011852 |  UNNAMED   | 2688.6931993730564 | 19.49739609349699  | 10.184443937019156 |   No   |
| AL021852 |  UNNAMED   | 508.24210196576746 | 16.648926468111515 | 12.10100242775637  |   No   |
| AL031852 |  UNNAMED   | 1117.4233176268344 | 32.168788311519926 | 9.801958926551178  |   No   |
| AL041852 |  UNNAMED   | 1807.1458329476475 | 16.40505755368921  | 8.605456347369751  |   No   |
| AL051852 |  UNNAMED   | 2434.8878250299135 | 37.75194505360013  | 17.559855234087745 |   No   |
| AL011853 |  UNNAMED   |         0          |         /          |         /          |   No   |
| AL021853 |  UNNAMED   |         0          |         /          |         /          |   No   |
| AL031853 |  UNNAMED   |  5281.71247065179  | 37.093219950665045 | 18.729476846282946 |   No   |
| AL041853 |  UNNAMED   | 1304.7363927541876 | 24.95764217018456  | 19.768733223548296 |   No   |
| AL051853 |  UNNAMED   |         0          |         /          |         /          |   No   |
| AL061853 |  UNNAMED   | 1131.4416326071653 | 23.513979720638982 | 8.979695496882266  |  Yes   |
| AL071853 |  UNNAMED   |         0          |         /          |         /          |   No   |
| AL081853 |  UNNAMED   | 400.93786981371653 | 8.609567337608699  | 5.140229100175854  |   No   |
| AL011854 |  UNNAMED   |  585.20238493694   | 14.662492492518554 | 9.753373082282332  |   No   |
| AL021854 |  UNNAMED   |         0          |         /          |         /          |   No   |
